,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,parallax_arcsec,R,magnitude,luminosity,solar_luminosity,radius,uwe,red,green,blue,x,y,z
0,1635721458409799680,Gaia DR2 167192841928924288,167192841928924288,641048407,2015.5,58.93449917530064,0.03402235513815729,29.793913064175392,0.01673902522748302,11.264989328700885,0.03976714060995925,283.2738,31.46422955136457,0.07347796020790906,-60.26850234053495,0.043611847929388034,0.34192714,0.33819067,-0.2958784,0.2678636,0.22478026,0.13976760000000002,0.14181253,-0.009495038,0.07722467,0.09902933,364,364,348,16,11.226811,727.9780000000001,0.0,0.0,31,True,335.47424,1.516568461279952,0.00559982457995501,-0.022528546,42,12,0.04795087,0,49,False,371,720627.9244163018,382.0676914431553,1886.1263,11.044088,42,314613.93199222465,424.5174575346935,741.1095,11.606943,41,572001.5695909243,465.3712246696478,1229.1296,10.368427,1.2303374,0,1.2385159,0.56285477,0.6756611,13.645901577787471,0.2879029793992209,17,5000.0,4.5,0.0,NOT_AVAILABLE,164.022914034515,-18.012230947980424,63.02073702961491,9.217982247081233,100001.0,4800.6934,4752.92,4860.37,0.1333,0.024,0.2638,0.068,0.0254,0.1368,200111.0,0.73727936,0.71928555,0.7521751999999999,0.26012060000000004,0.2587688,0.2614724,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+167192841928924288,,0.011264989328700886,88.77061227676487,6.302741923269281,1093649.4860072932,2.856973578911424e-21,-1.269565325469852,1.4568407049674807,255.0,223.96627170959766,198.85066277808534,-81.15902292179415,23.23685305648342,-27.449649586156955
1,1635721458409799680,Gaia DR2 167174356389697024,167174356389697024,740024989,2015.5,59.167401593020784,0.04272573035219263,29.610862017836546,0.020023834836982217,7.1933116842628895,0.04852841654718456,148.22885,12.581656181033098,0.08563730949914697,-23.69241572056009,0.055757525132890166,0.36594728,0.4133331,-0.40053487,0.13278753,0.26018822,0.0014593647,-0.071256265,0.06698710000000001,0.12785883,0.16256571,284,284,279,5,6.7861210000000005,464.5891,0.0,0.0,31,True,317.58344,1.5443096561583252,0.006657153509151163,0.019452766,32,11,0.054001827,0,33,True,277,376031.5472650978,108.76534828626228,3457.2734,11.750305,32,170616.6175342276,196.72727238922963,867.27484,12.271335,31,293457.9857845059,202.690868065704,1447.8105,11.093055,1.2341374,0,1.1782799,0.5210295,0.6572504,30.9341873120546,1.7928591193758092,16,5500.0,4.5,0.0,NOT_AVAILABLE,164.30979279899634,-18.01060150482781,63.18276763856733,8.996990320376469,100001.0,4904.325,4850.665,4936.403,0.1943,0.1689,0.2977,0.09699999999999999,0.091,0.1669,200111.0,0.788391,0.7781781,0.8059305,0.32396275,0.32093456,0.32699093,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+167174356389697024,,0.007193311684262889,139.01802728606103,6.034949392858591,2853653.552575908,7.454685351556708e-21,-1.07985432281474,1.3021446374862917,255.0,226.09067989135082,202.57698218602957,,,
2,1635721458409799680,Gaia DR2 167009979401844352,167009979401844352,943924294,2015.5,57.893315590328996,0.0891392121842467,28.713265590702797,0.03297553381195266,9.398326975349317,0.09152013518824934,102.69136,-1.6109838020427456,0.1862655084471604,0.4806139360440082,0.0944139129791456,0.11951763,0.24692012,0.064667776,0.11345991,0.09634109,0.10107139,0.5423595,0.21200414,-0.21286757,-0.058102336,259,0,258,1,9.804738,542.7388,0.2956267672914986,10.864378583271648,31,False,6.705755,1.3450279060247314,0.008627057161765827,-0.18382075,30,9,0.16972089999999998,0,32,False,274,13833.669289039228,6.531182591219957,2118.0957,15.336022,31,3100.008861568216,14.550170109701774,213.05652999999998,16.62298,30,16493.018090020134,20.65095680855421,798.6564,14.218670000000001,1.4163290000000002,0,2.4043102000000003,1.2869576999999999,1.1173525,,,0,,,,NOT_AVAILABLE,164.07708357204584,-19.423010356788474,61.891698277370644,8.353132084050994,100001.0,3938.3523,3534.1724,4150.65,0.1005,0.0469,0.23199999999999998,0.0563,0.0233,0.1363,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+167009979401844352,,0.009398326975349317,106.40191627966125,10.201274752019305,2181832.8993572565,5.6996679711527074e-21,-0.947614843945996,1.4646544466942855,255.0,204.27125890672892,163.20526589605612,-96.49636768400437,27.529445322388085,-35.38288360237367
3,1635721458409799680,Gaia DR2 167016645191076736,167016645191076736,879882240,2015.5,57.932714151882045,0.1076320582347142,28.789659961966766,0.04370017315344362,9.797660297801727,0.1166473357147408,83.993866,49.17435884989225,0.2061795185127616,-79.57679855136557,0.12264155073938653,0.14397031,0.3029208,-0.041331124,0.11686549,0.12313969,0.09310259,0.5966934,0.35184544,-0.15114737,-0.0682421,272,0,271,1,10.380597999999999,583.32635,0.39185004487228187,13.651978297545945,31,False,3.8711507000000007,1.332233164782147,0.010745724261853721,-0.16716234,31,10,0.1876808,0,32,False,279,8602.770481679467,6.343325476081435,1356.1925,15.851769,30,1536.214894335891,11.128342898454315,138.04526,17.385258,28,11116.340670491823,18.553960000096218,599.13574,14.647016,1.4707536,0,2.7382421000000003,1.5334883,1.2047538999999998,,,0,,,,NOT_AVAILABLE,164.05026288609062,-19.343078608325065,61.94230037426809,8.420386085626852,100001.0,4105.4529999999995,3787.7827,4158.2,0.14800000000000002,0.0199,0.2537,0.0777,0.0,0.1398,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+167016645191076736,,0.009797660297801727,102.06518389133853,10.807380888120571,2075118.2205056567,5.420893992961485e-21,-0.9945972088142261,1.4808633302933525,255.0,208.40463403871627,170.86676699184972,-92.59643113878984,26.46371196144397,-33.806429157097206
4,1635721458409799680,Gaia DR2 167094195120335616,167094195120335616,287832684,2015.5,59.44601864760846,0.0321033573176748,29.138053684559523,0.01300832188991253,6.268210096788695,0.0377953557231521,165.84604,28.693246215443764,0.08358256327267059,-39.60576654581868,0.034818971329259145,0.42708900000000005,0.026164872999999998,-0.34626603,0.34382722,0.23574032,0.19399725,0.35694970000000004,0.056563772000000005,0.005760861,0.20911013,324,0,323,1,-0.4090225,307.1441,0.0,0.0,31,True,103.09777,1.4118709229251742,0.0034310778648660284,-0.056603506,37,10,0.085856624,0,39,False,341,81402.74087226739,20.248197525088386,4020.2463,13.411767999999999,39,26415.604785178657,47.726687585381015,553.4766,14.296737,38,80804.293012891,76.22486052401933,1060.0779,12.493333999999999,1.3171535,1,1.8034028999999998,0.88496876,0.91843414,33.66381907253712,1.5247925057567138,18,4000.0,3.0,0.0,NOT_AVAILABLE,164.8349688290209,-18.193122539771792,63.324907291510456,8.484389166831358,100002.0,4134.7197,3936.5125,4376.2827,1.111,0.7175,1.5341,0.5747,0.396,0.7631,200111.0,0.69083923,0.61667794,0.7621595,0.12567039,0.123922884,0.12741789,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+167094195120335616,,0.006268210096788695,159.5351758410772,7.3974857232415605,4289521.08587561,1.1205645469894488e-20,-0.8430842045320022,0.9827827581340316,255.0,209.11121980707316,172.16608571394715,-146.28206569316583,39.648104084399215,-49.810214110123894
5,1635721458409799680,Gaia DR2 166963662471916032,166963662471916032,150523264,2015.5,58.836981588479745,0.07029246086760695,28.61143782068525,0.02651882520073071,7.641747422584518,0.07885435466420157,96.909645,42.142289475734096,0.102167047401419,-41.61569766942371,0.06548213604909292,0.16360019,0.67661023,-0.050657734,0.072333254,0.115152635,0.09695073,0.3068132,0.23739421,0.00684545,0.11145964,259,259,247,12,8.810816,491.12814000000003,0.0,4.087651738774449,31,False,409.49554,1.5230230226215635,0.008440272205032509,-0.090060495,29,11,0.057116013,0,31,False,277,329672.1188054971,608.9696426675625,541.3605299999999,11.89316,0,,,,,0,,,,,,2,,,,,,0,,,,NOT_AVAILABLE,164.79866953202404,-18.9418321257485,62.687827919802324,8.079046550546412,,,,,,,,,,,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+166963662471916032,,0.0076417474225845185,130.86012199835173,6.3091233957657575,2559303.362400555,6.685745460816497e-21,,1.4245894580428924,,,255.0,-119.44306745628647,32.45494153603817,-42.47825250582757
6,1635721458409799680,Gaia DR2 167173527458951040,167173527458951040,1312900183,2015.5,59.276226985971505,0.03658456758255341,29.6774123025708,0.017887466693909605,9.730475972100585,0.04198987110156504,231.73389,-6.211241690811003,0.07395594736722393,-6.693406041550312,0.046379146174143335,0.51192605,0.35458368,-0.17817318,0.44823304,0.33663762,0.26648520000000003,0.34589845,0.0763635,0.14955079999999998,0.23271771,426,426,412,14,1.426972,448.37357000000003,0.0,0.0,31,True,370.3586,1.476532105420537,0.0050224107048115006,0.011519639,49,12,0.047750312999999996,0,52,False,417,298949.5012126327,62.398304001733635,4790.988,11.999372,49,118923.09822212422,101.69286589545412,1169.4341,12.663222,51,257416.8720649569,144.31451603786886,1783.7213,11.235327999999999,1.2588747999999998,0,1.4278946000000001,0.6638508000000001,0.7640438,-7.331967124586207,0.3138771032240961,27,4000.0,3.0,0.0,NOT_AVAILABLE,164.33559423580118,-17.897587448090867,63.29036515276417,9.042618847249297,100001.0,4649.3926,4458.0127,4866.9766,0.218,0.063,0.3708,0.1065,0.0309,0.1806,200111.0,0.5999161999999999,0.5474753000000001,0.65252995,0.15151679999999998,0.15057391,0.15245968,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+167173527458951040,,0.009730475972100585,102.76989562147011,6.940042422822241,1592576.1672672778,4.160334815222774e-21,-1.1601387954265587,1.0495975243611064,255.0,220.78084077003768,193.22368732040314,-94.16438973488823,26.405306927304277,-31.582889639467655
7,1635721458409799680,Gaia DR2 167151782041522304,167151782041522304,557495584,2015.5,58.56779461098896,0.1498041872486625,29.4455137150381,0.07038900709916933,8.016795672292501,0.165037963374423,48.575462,109.01458256905056,0.3288741357607032,-54.66215894709073,0.18543538686733835,0.15044124,0.1997968,0.21483319,0.14140272,0.05893295,-0.050485857,0.6605523,0.44935933,-0.01586734,-0.21903564,239,0,229,10,52.09482,4120.795999999999,0.7153038786616196,147.9070528823454,31,False,1.8810996,1.4316322004035178,0.016422905521518778,-0.16048318,27,11,0.30168033,0,29,False,254,94833.22663461142,33.39571593050408,2839.6824,13.245964,27,30270.593417413307,50.390266944206296,600.7230000000001,14.148836,27,95573.33706215193,98.2204113042742,973.0497,12.311078,1.3270024999999999,0,1.8377581000000003,0.9028721,0.9348860000000001,59.986288492274646,3.5791859574668115,7,4000.0,3.0,-1.5,NOT_AVAILABLE,164.02144493552382,-18.484463520261016,62.631304690453995,8.94389077770289,100001.0,3949.6348,3848.0,4250.1333,0.752,0.377,0.9259999999999999,0.366,0.1875,0.4596,200111.0,0.67688745,0.58455485,0.71311605,0.10045127,0.09626908,0.10463346,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+167151782041522304,,0.008016795672292501,124.73811743215325,7.765968073390015,2589952.5351916803,6.765811220458935e-21,-0.9128644404758978,4.289103719226863,255.0,204.55581314884347,163.7361190344114,-113.73218147805207,32.56611489041722,-39.54790762739832
8,1635721458409799680,Gaia DR2 166959298788086912,166959298788086912,690411851,2015.5,58.92427701585446,0.0372670121551021,28.536586751729587,0.01609523211515562,7.938579309740678,0.04038851188330382,196.55536999999998,-14.302683006840313,0.06464854252883212,-17.750656413900423,0.04212245082899465,0.032078475,0.5317767,-0.19576108,-0.0706989,-0.056665637000000005,0.06915413,0.37752333,0.09253766,-0.1955444,0.124340676,293,196,287,6,7.541157000000001,500.7024,0.0,0.0,31,True,170.17029,1.4454940789215083,0.004896550568438632,-0.09035695,33,11,0.047186855,0,35,False,286,128730.67929067626,44.56755883432733,2888.4392,12.914161,33,46489.14196599628,73.28103242912503,634.39526,13.683009,31,119281.812427443,114.6479692658218,1040.4180000000001,12.070484,1.2877346,0,1.612525,0.7688484,0.84367657,-2.2051080983617237,1.0008328130484634,9,4000.0,3.0,0.0,NOT_AVAILABLE,164.91189926667082,-18.945005317524732,62.74786919789028,7.989909901117994,100001.0,4290.0,4217.25,4419.98,0.2363,0.016,0.57,0.1353,0.0069,0.2834,200111.0,0.6107491999999999,0.5753563,0.6320024999999999,0.113828145,0.11288084,0.11477545,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+166959298788086912,,0.007938579309740679,125.96712345910493,7.41287493962548,2575078.5697523174,6.72695551136969e-21,-0.985915803528771,1.3324940621000587,255.0,212.7784291778313,178.86311391371726,-115.03629369192448,31.013545393981747,-40.89654420953089
9,1635721458409799680,Gaia DR2 167071242815125120,167071242815125120,1658267879,2015.5,59.250024201083136,0.04388116790375053,29.029706614246894,0.01802143872170873,7.2937261485418095,0.04393019310748174,166.0299,43.17252655754801,0.09384055039486501,-13.467225060178544,0.04749926717508009,-0.10156697,0.35359222,-0.06724835,-0.12624508,-0.046238847,-0.09990552,0.39427885,0.12173459,-0.12830211,-0.13713692,233,0,233,0,2.5439543999999996,285.97662,0.10058856272029076,1.87537883775252,31,False,25.092539000000002,1.3942053159009524,0.005498647238252708,-0.16117787,27,11,0.09264026,0,29,False,251,28181.602249834057,7.867709806838197,3581.9321,14.563451999999998,28,8142.638810120075,22.36841502083794,364.02396,15.574475,27,29840.902081325206,38.51119972245797,774.863,13.57489,1.3478133999999997,0,1.9995851999999998,1.0110235,0.98856163,,,0,,,,NOT_AVAILABLE,164.78024041464806,-18.38902092918203,63.132968000822906,8.413459803725821,100001.0,4088.5,3842.9,4348.14,0.245,0.128,0.4714,0.1283,0.067,0.2172,,,,,,,,https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+167071242815125120,,0.0072937261485418094,137.10413300887694,8.878199265954173,3440133.4206293644,8.986764421706803e-21,-0.8812368224410876,1.1199479546178168,255.0,207.99303028106158,170.1085123000977,-125.53987874025603,34.15492535014691,-43.25185785979052
